Data,Equalizacao,Eq D-1,SAO,Afluente,LZAM,Sanitario,Aeracao,Vol Eq,Vol Aera,Efluente D-1,phEntrada D-1,phNeutralizacao D-1,phEqualizacao D-1,phAeracao D-1,OD D-1,phEntrada,phNeutralizacao,phEqualizacao,phAeracao,OD,VLodoSD30,VAeracao,VEqualizacao,Efluente Final,DiasDescarte,Desenquadrou
2/19/2018,,,,,,,,632,708,,,,,,,,,,,,,,,143,16,0
2/20/2018,939,,,238,,,,574,650,143,,,,,,,,,,,,,,119,17,0
2/21/2018,1012,939,,169,3073,1306,,490,648,119,,,,,,,,,,,,,,133,18,0
2/22/2018,683,1012,25,160,,,,616,654,133,,,,,,,,,,,,,,123,19,0
2/23/2018,472,683,36,868,,,,730,674,123,,,,,,,,,,,,,,117,20,0
2/26/2018,397,472,,926,,,,606,658,117,,,,,,,,,,,,,,129,21,0
2/27/2018,429,397,62,899,,,,750,740,129,,,,,,,,,,,,,,278,22,1
2/28/2018,1152,429,76,1207,,,,752,712,278,,,,,,,,,,,,,,117,23,0
3/1/2018,616,1152,83,413,,,,752,712,117,,,,,,1.4,4,6,6.9,2.98,900,752,712,257,24,1
3/2/2018,483,616,97,2210,,,,,,257,1.4,4,6,6.9,2.98,6.7,7,7.5,7,3.06,940,714,664,138,25,0
3/3/2018,624,483,79,509,,,,,,138,6.7,7,7.5,7,3.06,,,,,,,,,88,26,0
3/5/2018,517,624,43,396,,,,,,88,,,,,,7.3,8,7,7,3.35,920,666,650,124,27,0
3/6/2018,443,517,57,85,,,,,,124,7.3,8,7,7,3.35,5.1,7.7,7.3,7.1,2.96,930,634,660,85,0,0
3/7/2018,641,443,51,1648,,,,,,85,5.1,7.7,7.3,7.1,2.96,5.4,2.6,7.3,7.1,3.06,890,628,656,105,1,0
3/8/2018,611,641,48,358,,,,,,105,5.4,2.6,7.3,7.1,3.06,,,,,,,,,105,2,0
3/9/2018,394,611,63,675,,,,,,105,,,,,,4.9,5,6.9,7.1,2.73,730,626,656,93,3,0
3/10/2018,265,394,30,1094,,,,514,650,93,4.9,5,6.9,7.1,2.73,2.4,4.5,7.6,7.3,3.27,810,514,650,53,4,0
3/12/2018,25,265,25,3500,,,,496,654,53,2.4,4.5,7.6,7.3,3.27,1.2,2,6,7,2.75,800,496,654,24,5,0
3/13/2018,230,25,198,3500,,,,356,660,24,1.2,2,6,7,2.75,1.8,2,7.2,7.1,2.83,700,356,660,124,6,0
3/14/2018,315,230,185,3500,,,,238,650,124,1.8,2,7.2,7.1,2.83,1.5,1.5,7,7.1,2.95,860,238,650,80,7,0
3/15/2018,1484,315,991,2141,,,,232,582,80,1.5,1.5,7,7.1,2.95,5,3,5.8,7,2.86,930,232,582,113,8,0
3/16/2018,1927,1484,742,3093,,,,198,596,113,5,3,5.8,7,2.86,2.1,2.7,6.9,7,2.73,880,198,596,157,9,0
3/17/2018,950,1927,416,922,,,,190,556,157,2.1,2.7,6.9,7,2.73,4.9,3.1,6.7,6.9,2.83,930,190,556,62,10,0
3/19/2018,1378,950,513,279,,,,272,532,62,4.9,3.1,6.7,6.9,2.83,2.9,2.6,6.5,7.1,2.91,930,272,532,60,11,0
3/20/2018,1454,1378,422,1600,,,,252,550,60,2.9,2.6,6.5,7.1,2.91,0.4,1,5.5,7.3,2.36,850,252,550,130,12,0
