,Data,Equalizacao,Eq D-1,SAO,Efluente D-1,phEntrada D-1,phNeutralizacao D-1,phEqualizacao D-1,phAeracao D-1,OD D-1,phEntrada,phNeutralizacao,phEqualizacao,phAeracao,OD,VLodoSD30,VAeracao,VEqualizacao,DiasDescarte,Desenquadrou
0,3/2/2018,483.0,616.0,97.0,257.0,1.4,4.0,6.0,6.9,2.98,6.7,7.0,7.5,7.0,3.06,940.0,714.0,664.0,25,0
1,3/6/2018,443.0,517.0,57.0,124.0,7.3,8.0,7.0,7.0,3.35,5.1,7.7,7.3,7.1,2.96,930.0,634.0,660.0,0,0
2,3/7/2018,641.0,443.0,51.0,85.0,5.1,7.7,7.3,7.1,2.96,5.4,2.6,7.3,7.1,3.06,890.0,628.0,656.0,1,0
3,3/10/2018,265.0,394.0,30.0,93.0,4.9,5.0,6.9,7.1,2.73,2.4,4.5,7.6,7.3,3.27,810.0,514.0,650.0,4,0
4,3/12/2018,25.0,265.0,25.0,53.0,2.4,4.5,7.6,7.3,3.27,1.2,2.0,6.0,7.0,2.75,800.0,496.0,654.0,5,0
5,3/13/2018,230.0,25.0,198.0,24.0,1.2,2.0,6.0,7.0,2.75,1.8,2.0,7.2,7.1,2.83,700.0,356.0,660.0,6,0
6,3/14/2018,315.0,230.0,185.0,124.0,1.8,2.0,7.2,7.1,2.83,1.5,1.5,7.0,7.1,2.95,860.0,238.0,650.0,7,0
7,3/15/2018,1484.0,315.0,991.0,80.0,1.5,1.5,7.0,7.1,2.95,5.0,3.0,5.8,7.0,2.86,930.0,232.0,582.0,8,0
8,3/16/2018,1927.0,1484.0,742.0,113.0,5.0,3.0,5.8,7.0,2.86,2.1,2.7,6.9,7.0,2.73,880.0,198.0,596.0,9,0
9,3/17/2018,950.0,1927.0,416.0,157.0,2.1,2.7,6.9,7.0,2.73,4.9,3.1,6.7,6.9,2.83,930.0,190.0,556.0,10,0
